Bairro,Rua,Qtd_Comércios_existentes,Indice_Fluxo_Pedestres,Renda_média_Familiar_R$,Coef_Concentration_Conc,Potencial_Delivery_Score,Score_Global_Final,Custo_Luvas_m2_R$,Aluguel_Mensal_m2_R$,Custo_Total_Ano1_R$,Indice_Rentabilidade_Imobi
Botafogo,Rua Vicente de Sousa,1,51,9800,0.0006,95,48,2700,180,267300,78
Ipanema,Rua Conselheiro Lafaiete,1,45,14800,0.0006,90,49,4700,320,469700,44
São Conrado,Rua Coronel Ribeiro Gomes,1,51,11500,0.0006,30,36,1400,100,143000,99
Catete,Rua Cruzeiro do Sul,1,45,6900,0.0006,82,39,1350,100,140250,99
Leblon,Rua Desembargador Alfredo Russel,1,49,16500,0.0006,88,52,4800,320,475200,43
Botafogo,Rua Clotilde Guimarães,1,58,9800,0.0006,95,51,2800,180,272800,77
Copacabana,Rua Bonfim,1,45,8200,0.0006,98,44,2650,180,264550,78
Leblon,Rua Capitão César de Andrade,1,45,16500,0.0006,88,50,4700,320,469700,44
Botafogo,Rua Cardoso Júnior,1,54,9800,0.0006,95,49,2750,180,270050,77
Botafogo,Rua Barão de Macaúbas,1,52,9800,0.0006,95,48,2750,180,270050,77
Laranjeiras,Rua Belisário Távora,1,49,8500,0.0006,75,41,1700,130,179300,92
Laranjeiras,Rua Aparício Borges,1,45,8500,0.0006,75,39,1650,130,176550,93
Laranjeiras,Rua Alegrete,1,52,8500,0.0006,75,43,1700,130,179300,92
Laranjeiras,Rua Almirante Salgado,1,51,8500,0.0006,75,42,1700,130,179300,92
Urca,Praça Felix Laranjeiras,1,49,11800,0.0006,35,37,1400,100,143000,99
Botafogo,Praça Nicarágua,1,54,9800,0.0006,95,49,2750,180,270050,77
Leblon,Praça Nosa Senhora Auxiliadora,1,55,16500,0.0006,88,55,4900,320,480700,42
Botafogo,Praça Praia Nova,1,45,9800,0.0006,95,45,2650,180,264550,78
Urca,Praça Tomás Santa Rosa,1,54,11800,0.0006,35,39,1450,100,145750,98
Ipanema,Ponte Arquiteto Paulo Casé,1,51,14800,0.0006,90,52,4800,320,475200,43
Ipanema,Ponto Final: General Osório :: Rua Visconde de Pirajá,1,96,14800,0.0006,90,72,5700,360,551100,30
Urca,Praia da Urca,1,52,11800,0.0006,35,38,1400,100,143000,99
Botafogo,Largo Ibam,1,51,9800,0.0006,70,43,2700,180,267300,78
Humaitá,Largo Ibam,1,51,9100,0.0006,70,42,2700,180,267300,78
Copacabana,Largo Ibrahim Sued,1,45,8200,0.0006,98,44,2650,180,264550,78
Urca,Marechal Cantuária,1,57,11800,0.0006,35,40,1450,100,145750,98
Copacabana,Rua da Caixa d'água (NR),1,45,8200,0.0006,98,44,2650,180,264550,78
Botafogo,Rua das Flores,1,49,9800,0.0006,35,35,2700,180,267300,78
